model_key	model_label	model_id	run_id	worker_pod	lane	label	parent	relationship	source	confidence	start_s_after_container	end_s_after_container	duration_s	start_iso	end_iso
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	Remove LoRAs after compile warmup	compile_or_warm_up_model total	nested	worker.remove_loras_after_compile_warmup	instrumented	59.547	59.547	0.000	2026-05-01T00:26:50.546Z	2026-05-01T00:26:50.547Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	Kernel warmup	compile_or_warm_up_model total	nested	worker.kernel_warmup	instrumented	59.548	59.701	0.153	2026-05-01T00:26:50.547Z	2026-05-01T00:26:50.701Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	CUDA graph capture	compile_or_warm_up_model total	nested	worker.capture_model	instrumented	59.701	63.745	4.044	2026-05-01T00:26:50.701Z	2026-05-01T00:26:54.745Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	Sampler/V2 warmup	compile_or_warm_up_model total	nested	worker.sampler_warmup	instrumented	63.745	63.757	0.012	2026-05-01T00:26:54.745Z	2026-05-01T00:26:54.757Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	critical_path	Engine post-init parent-process tail		additive	AsyncLLM.from_vllm_config return + parent bookkeeping	inferred-gap	63.758	64.447	0.689	2026-05-01T00:26:54.758Z	2026-05-01T00:26:55.447Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	critical_path	Dynamo registration/discovery to first chat		additive	Dynamo registration + frontend first chat	inferred-gap	64.497	72.389	7.892	2026-05-01T00:26:55.497Z	2026-05-01T00:27:03.389Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	critical_path	Container start -> first Python/vLLM log		additive	k8s.container.startedAt + worker log	coarse-start	0.000	5.341	5.341	2026-05-01T00:33:28.000Z	2026-05-01T00:33:33.341Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	critical_path	Main-process vLLM platform detection		additive	vllm.platforms	measured	5.341	5.405	0.064	2026-05-01T00:33:33.341Z	2026-05-01T00:33:33.405Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	critical_path	Python import / Dynamo module load gap		additive	log gap before dynamo.nixl_connect	inferred-gap	5.405	14.424	9.019	2026-05-01T00:33:33.405Z	2026-05-01T00:33:42.424Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	critical_path	Dynamo CLI/config parse to offline model path		additive	arg_utils.__post_init__	inferred-gap	14.424	15.087	0.663	2026-05-01T00:33:42.424Z	2026-05-01T00:33:43.087Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	critical_path	HF cache local path check		additive	dynamo_llm::hub	measured-but-not-blog-critical	15.087	15.397	0.310	2026-05-01T00:33:43.087Z	2026-05-01T00:33:43.397Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	critical_path	Runtime/discovery/status-server bootstrap		additive	Dynamo runtime logs	measured	15.397	15.413	0.016	2026-05-01T00:33:43.397Z	2026-05-01T00:33:43.413Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	critical_path	vLLM model-class inspection		additive	registry.inspect_model_cls	measured	15.428	25.423	9.995	2026-05-01T00:33:43.428Z	2026-05-01T00:33:53.423Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	critical_path	vLLM engine config, tokenizer, renderer, child spawn		additive	create_engine_config + tokenizer/renderer + AsyncLLM child spawn	inferred-gap	25.423	31.204	5.781	2026-05-01T00:33:53.423Z	2026-05-01T00:33:59.204Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	critical_path	EngineCore child Python/bootstrap		additive	EngineCore logs	measured	31.204	32.045	0.841	2026-05-01T00:33:59.204Z	2026-05-01T00:34:00.045Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	critical_path	EngineCore pre-load setup		additive	EngineCore setup before worker.load_model	inferred-gap	32.045	35.060	3.015	2026-05-01T00:34:00.045Z	2026-05-01T00:34:03.060Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	vllm_parent	Model load total		parent	worker.load_model	instrumented	35.060	40.410	5.350	2026-05-01T00:34:03.060Z	2026-05-01T00:34:08.410Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	vllm_parent	KV/profile/warmup total		parent	engine.initialize_kv_caches_total	instrumented	40.410	67.440	27.030	2026-05-01T00:34:08.409Z	2026-05-01T00:34:35.440Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	vllm_child	Determine available memory total	KV/profile/warmup total	nested	worker.determine_available_memory_total	instrumented	40.410	63.484	23.074	2026-05-01T00:34:08.410Z	2026-05-01T00:34:31.484Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	vllm_child	Profile run	Determine available memory total	nested	worker.profile_run	instrumented	40.536	62.600	22.064	2026-05-01T00:34:08.535Z	2026-05-01T00:34:30.600Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	vllm_child	torch.compile	Profile run	nested	vllm.log.torch_compile	log-duration-derived	40.539	61.649	21.110	2026-05-01T00:34:08.539Z	2026-05-01T00:34:29.649Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	vllm_child	Initial profiling/warmup forward	Profile run	nested	vllm.log.initial_profile_warmup	log-duration-derived	61.654	62.294	0.640	2026-05-01T00:34:29.654Z	2026-05-01T00:34:30.294Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	vllm_child	Profile CUDA graph memory	Determine available memory total	nested	worker.profile_cudagraph_memory	instrumented	62.600	63.310	0.710	2026-05-01T00:34:30.599Z	2026-05-01T00:34:31.310Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	vllm_child	Memory profiling context	Determine available memory total	nested	vllm.log.memory_profiling	log-duration-derived	40.534	63.484	22.950	2026-05-01T00:34:08.534Z	2026-05-01T00:34:31.484Z
qwen3-14b	Qwen3 14B	Qwen/Qwen3-14B	cold-qwen3-14b-0501003244	cold-qwen3-14b-0501003244-worker-53e6e20c-77cd7b7bf-bjtxm	vllm_child	Engine initialize_from_config	KV/profile/warmup total	nested	engine.initialize_from_config	instrumented	63.485	67.440	3.955	2026-05-01T00:34:31.485Z	2026-05-01T00:34:35.440Z
