"model_slug","model","provider","variant","recipe_path","perf_path","runtime","hardware","gpu_count","serving_techniques","workload_type","benchmark_mode","traffic_shape","concurrency","request_volume","goodput_sla","notes"
"kimi-k2.5","Kimi-K2.5 NVFP4","Moonshot / NVIDIA","Disaggregated Eagle KV router","recipes/kimi-k2.5/trtllm/disagg-eagle-kv-router","recipes/kimi-k2.5/trtllm/disagg-eagle-kv-router/perf.yaml","TensorRT-LLM","GB200","24","Disaggregated prefill/decode; KV-aware routing; EAGLE3 speculative decoding; TRT-LLM KV offload","Agentic coding trace","Mooncake-format trace replay","Agentic coding trace from AIPerf; long-context multi-session traffic","32","1 hour benchmark duration","TTFT 5s; ITL 10ms","README identifies this as the best throughput/interactivity variant."
"llama-3-70b","Llama-3.3-70B FP8","Meta / Red Hat","vLLM aggregated","recipes/llama-3-70b/vllm/agg","recipes/llama-3-70b/vllm/agg/perf.yaml","vLLM","H100 / H200","4","Aggregated serving; TP4; FP8 dynamic quantization","Static long-context generation","Synthetic static ISL/OSL","ISL 8192; OSL 1024; 12,800 dataset entries","64 total; 16 per GPU","10x concurrency","None in perf.yaml","Single-node baseline for Llama FP8."
"llama-3-70b","Llama-3.3-70B FP8","Meta / Red Hat","vLLM disaggregated multi-node","recipes/llama-3-70b/vllm/disagg-multi-node","recipes/llama-3-70b/vllm/disagg-multi-node/perf.yaml","vLLM","H100 / H200","16","Disaggregated prefill/decode; multi-node; FP8 dynamic quantization","Static long-context generation","Synthetic static ISL/OSL","ISL 8192; OSL 1024; 12,800 dataset entries","256 total; 16 per GPU","10x concurrency","None in perf.yaml","Two-node disaggregated capacity shape."
"llama-3-70b","Llama-3.3-70B FP8","Meta / Red Hat","vLLM disaggregated single-node","recipes/llama-3-70b/vllm/disagg-single-node","recipes/llama-3-70b/vllm/disagg-single-node/perf.yaml","vLLM","H100 / H200","8","Disaggregated prefill/decode; single-node; FP8 dynamic quantization","Static long-context generation","Synthetic static ISL/OSL","ISL 8192; OSL 1024; 12,800 dataset entries","128 total; 16 per GPU","10x concurrency","None in perf.yaml","Single-node disaggregated capacity shape."
"nemotron-3-nano-omni","Nemotron 3 Nano Omni NVFP4","NVIDIA","vLLM aggregated","recipes/nemotron-3-nano-omni/vllm/agg","None","vLLM","Any NVIDIA GPU","1","Aggregated serving; prefix-hash KV routing; multimodal inputs; tool and reasoning parsers","Deployment only","No benchmark YAML","No benchmark traffic captured in repo","None","None","None","Useful deploy example but not benchmark-backed yet."
"nemotron-3-super-fp8","Nemotron-3-Super FP8","NVIDIA","Multiple backend deploy variants","recipes/nemotron-3-super-fp8","None","vLLM; SGLang; TensorRT-LLM","H100 / H200","4","Aggregated KV-aware routing for vLLM/SGLang; disaggregated P/D for TRT-LLM/SGLang; hybrid Mamba cache caveats","Deployment only","No benchmark YAML","No benchmark traffic captured in repo","None","None","None","Functional deployment recipes without perf.yaml today."
"qwen3-235b-a22b-fp8","Qwen3-235B-A22B FP8","Qwen","TensorRT-LLM aggregated Blackwell","recipes/qwen3-235b-a22b-fp8/trtllm/agg/blackwell","recipes/qwen3-235b-a22b-fp8/trtllm/agg/blackwell/perf.yaml","TensorRT-LLM","B100 / B200","16","Aggregated serving; TP4 x EP4; KV-aware routing; DeepGEMM MoE backend","Static medium-context generation","Synthetic static ISL/OSL","ISL 4000; OSL 200; 12,800 dataset entries","32 total; 2 per GPU","10x concurrency","None in perf.yaml","Blackwell variant exists because TRT-LLM MoE backend differs by architecture."
"qwen3-235b-a22b-fp8","Qwen3-235B-A22B FP8","Qwen","TensorRT-LLM aggregated Hopper","recipes/qwen3-235b-a22b-fp8/trtllm/agg/hopper","recipes/qwen3-235b-a22b-fp8/trtllm/agg/hopper/perf.yaml","TensorRT-LLM","H100 / H200","16","Aggregated serving; TP4 x EP4; KV-aware routing; Hopper MoE backend","Static medium-context generation","Synthetic static ISL/OSL","ISL 4000; OSL 200; 12,800 dataset entries","32 total; 2 per GPU","10x concurrency","None in perf.yaml","Hopper variant uses default MoE backend."
"qwen3-235b-a22b-fp8","Qwen3-235B-A22B FP8","Qwen","TensorRT-LLM disaggregated Blackwell","recipes/qwen3-235b-a22b-fp8/trtllm/disagg/blackwell","recipes/qwen3-235b-a22b-fp8/trtllm/disagg/blackwell/perf.yaml","TensorRT-LLM","B100 / B200","16","Disaggregated prefill/decode; DeepGEMM MoE backend; TP4 x EP4 family","Static medium-context generation","Synthetic static ISL/OSL","ISL 4000; OSL 200; 12,800 dataset entries","32 total; 2 per GPU","10x concurrency","None in perf.yaml","Blackwell disaggregated variant."
"qwen3-235b-a22b-fp8","Qwen3-235B-A22B FP8","Qwen","TensorRT-LLM disaggregated Hopper","recipes/qwen3-235b-a22b-fp8/trtllm/disagg/hopper","recipes/qwen3-235b-a22b-fp8/trtllm/disagg/hopper/perf.yaml","TensorRT-LLM","H100 / H200","16","Disaggregated prefill/decode; Hopper MoE backend; TP4 x EP4 family","Static medium-context generation","Synthetic static ISL/OSL","ISL 4000; OSL 200; 12,800 dataset entries","32 total; 2 per GPU","10x concurrency","None in perf.yaml","Hopper disaggregated variant."
"qwen3-32b","Qwen3-32B","Qwen","vLLM aggregated round-robin","recipes/qwen3-32b/vllm/agg-round-robin","recipes/qwen3-32b/vllm/agg-round-robin/perf.yaml","vLLM","H200","16","Aggregated serving; round-robin routing; TP2 workers","Multi-turn prefix reuse","Mooncake fixed trace replay","Conversation trace; 12,031 requests over ~59m; avg ISL 12,035; avg OSL 343; 36.64% cache efficiency","Fixed schedule","12,031 trace requests","TTFT 2s; ITL 25ms","Baseline for the Qwen3-32B detail page."
"qwen3-32b","Qwen3-32B","Qwen","vLLM disaggregated KV router","recipes/qwen3-32b/vllm/disagg-kv-router","recipes/qwen3-32b/vllm/disagg-kv-router/perf.yaml","vLLM","H200","16","Disaggregated prefill/decode; KV-aware routing; 6 prefill plus 2 decode workers; TP2","Multi-turn prefix reuse","Mooncake fixed trace replay","Conversation trace; 12,031 requests over ~59m; avg ISL 12,035; avg OSL 343; 36.64% cache efficiency","Fixed schedule","12,031 trace requests","TTFT 2s; ITL 25ms","Recommended Qwen3-32B variant for prefix-reuse traffic."
"qwen3-32b-fp8","Qwen3-32B FP8","Qwen","TensorRT-LLM aggregated","recipes/qwen3-32b-fp8/trtllm/agg","recipes/qwen3-32b-fp8/trtllm/agg/perf.yaml","TensorRT-LLM","H100 / H200 / A100","2","Aggregated serving; TP2; round-robin routing; FP8","Static medium-context generation","Synthetic static ISL/OSL","ISL 4000; OSL 500; 12,800 dataset entries","4 total; 2 per GPU","10x concurrency","None in perf.yaml","Smallest FP8 Qwen3-32B deployment variant."
"qwen3-32b-fp8","Qwen3-32B FP8","Qwen","TensorRT-LLM disaggregated","recipes/qwen3-32b-fp8/trtllm/disagg","recipes/qwen3-32b-fp8/trtllm/disagg/perf.yaml","TensorRT-LLM","H100 / H200 / A100","8","Disaggregated prefill/decode; FP8; 4 prefill plus 2 decode family","Static medium-context generation","Synthetic static ISL/OSL","ISL 4000; OSL 500; 12,800 dataset entries","48 total; 6 per GPU","10x concurrency","None in perf.yaml","TensorRT-LLM disaggregated FP8 variant."
"qwen3-32b-fp8","Qwen3-32B FP8","Qwen","vLLM disaggregated","recipes/qwen3-32b-fp8/vllm/disagg","recipes/qwen3-32b-fp8/vllm/disagg/perf.yaml","vLLM","H100 / H200 / A100","8","Disaggregated prefill/decode; NIXL KV transfer; FP8; 2x TP2 prefill plus 1x TP4 decode","Static medium-context generation","Synthetic static ISL/OSL","ISL 2000; OSL 500; 12,800 dataset entries","8 total; 1 per GPU","10x concurrency","None in perf.yaml","vLLM disaggregated FP8 variant."
"qwen3-vl-30b","Qwen3-VL-30B-A3B FP8","Qwen","vLLM aggregated embedding cache","recipes/qwen3-vl-30b/vllm/agg-embedding-cache","recipes/qwen3-vl-30b/vllm/agg-embedding-cache/perf.yaml","vLLM","GB200","1","Aggregated serving; multimodal embedding cache; vLLM ECConnector; TP1","Multimodal reuse","Single-turn multimodal JSONL","1,000 requests; one image per request; image pool 200; 80% image reuse; 400 text tokens; max output 150","64","1,000 requests","None in perf.yaml","README reports cache-on vs cache-off throughput and TTFT improvement."
"qwen3.6-35b","Qwen3.6-35B-A3B FP8","Qwen","vanilla vLLM serve","recipes/qwen3.6-35b/deploy/vllm-serve.yaml","recipes/qwen3.6-35b/perf.yaml","vLLM","H100 / GB200","1","Vanilla vLLM baseline; multimodal processing; TP1","Multimodal sliding-window reuse","Single-turn multimodal JSONL","30 users x 8 turns; 5-image sliding window; 8000 text tokens; max output 1024","30","240 requests","None in perf.yaml","Same perf template is parameterized by run-benchmark.sh."
"qwen3.6-35b","Qwen3.6-35B-A3B FP8","Qwen","Dynamo frontend decoding","recipes/qwen3.6-35b/deploy/dynamo-fd.yaml","recipes/qwen3.6-35b/perf.yaml","vLLM","H100 / GB200","1","Dynamo frontend decoding; worker receives decoded multimodal inputs; TP1","Multimodal sliding-window reuse","Single-turn multimodal JSONL","30 users x 8 turns; 5-image sliding window; 8000 text tokens; max output 1024","30","240 requests","None in perf.yaml","Isolates frontend-decoding effect from embedding-cache effect."
"qwen3.6-35b","Qwen3.6-35B-A3B FP8","Qwen","Dynamo frontend decoding plus embedding cache","recipes/qwen3.6-35b/deploy/dynamo-fd-ec.yaml","recipes/qwen3.6-35b/perf.yaml","vLLM","H100 / GB200","1","Dynamo frontend decoding; 8 GiB multimodal embedding cache; NIXL embedding transfer mode; TP1","Multimodal sliding-window reuse","Single-turn multimodal JSONL","30 users x 8 turns; 5-image sliding window; 8000 text tokens; max output 1024","30","240 requests","None in perf.yaml","Best Qwen3.6 config for demonstrating frontend decoding plus embedding cache."
