family_slug,model_family,asset_type,page_status,provider,model_id,variant,variant_role,runtime,hardware,gpu_count,serving_techniques,workload_type,traffic_shape,deploy_path,perf_path,benchmark_asset,results_asset,placeholder_needed,comparison_question,held_constant,decision_signal,notes
deepseek-r1,DeepSeek-R1,alternative_recipe_set,Preview,DeepSeek,deepseek-ai/DeepSeek-R1,TRT-LLM WideEP GB200,Benchmark-backed alternative,TRT-LLM,36x GB200,36,WideEP; Expert parallel / MoE,Static ISL-OSL,1K ISL / 1K OSL static benchmark,recipes/deepseek-r1/trtllm/disagg/wide_ep/gb200/deploy.yaml,recipes/deepseek-r1/trtllm/disagg/wide_ep/gb200/perf.yaml,perf.yaml,Placeholder,expected results,Which backend and hardware target should serve the 671B DeepSeek-R1 MoE model?,"Same DeepSeek-R1 model family, but variants differ by backend, hardware, and benchmark coverage.",Only DeepSeek-R1 row with checked-in benchmark instructions today.,"Backend-specific READMEs are thin, so this page keeps source-path evidence visible and avoids overclaiming readiness. | The TRT-LLM row uses an FP4 checkpoint while the top-level README describes the broader DeepSeek-R1 family."
deepseek-r1,DeepSeek-R1,alternative_recipe_set,Preview,DeepSeek,deepseek-ai/DeepSeek-R1,vLLM disagg,Deploy-only alternative,vLLM,32x H200,32,Disaggregated prefill/decode; Expert parallel / MoE,Deployment only,Deployment validation,recipes/deepseek-r1/vllm/disagg/deploy_hopper_16gpu.yaml,,None,Placeholder,benchmark instructions; expected results,Which backend and hardware target should serve the 671B DeepSeek-R1 MoE model?,"Same DeepSeek-R1 model family, but variants differ by backend, hardware, and benchmark coverage.",vLLM DEP16 multi-node path; add perf.yaml before comparing with TRT-LLM.,"Backend-specific READMEs are thin, so this page keeps source-path evidence visible and avoids overclaiming readiness. | The TRT-LLM row uses an FP4 checkpoint while the top-level README describes the broader DeepSeek-R1 family."
deepseek-v4-pro,DeepSeek-V4-Pro,alternative_recipe_set,Experimental,DeepSeek,deepseek-ai/DeepSeek-V4-Pro,vLLM agg B200,Deploy-only alternative,vLLM,8x B200,8,Aggregated serving; Expert parallel / MoE,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-pro/vllm/agg/b200/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,"Which Day-0 backend and hardware target should serve DeepSeek-V4-Pro, and which path has benchmark coverage?","Same V4-Pro model, but variants differ by backend, hardware, topology, and benchmark availability.",Single-node TP=8 + expert-parallel path for B200.,First launch can take 60-90 minutes depending on backend and hardware. | The GB200 vLLM paths rely on ComputeDomain/MNNVL placement; keep those prerequisites in front of users.
deepseek-v4-pro,DeepSeek-V4-Pro,alternative_recipe_set,Experimental,DeepSeek,deepseek-ai/DeepSeek-V4-Pro,vLLM agg GB200,Deploy-only alternative,vLLM,8x GB200 across 2 nodes,8,Aggregated serving,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-pro/vllm/agg/gb200/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,"Which Day-0 backend and hardware target should serve DeepSeek-V4-Pro, and which path has benchmark coverage?","Same V4-Pro model, but variants differ by backend, hardware, topology, and benchmark availability.",TP=8 cross-node MNNVL path when one GB200 tray is not enough HBM.,First launch can take 60-90 minutes depending on backend and hardware. | The GB200 vLLM paths rely on ComputeDomain/MNNVL placement; keep those prerequisites in front of users.
deepseek-v4-pro,DeepSeek-V4-Pro,alternative_recipe_set,Experimental,DeepSeek,deepseek-ai/DeepSeek-V4-Pro,vLLM disagg GB200,Benchmark-backed alternative,vLLM,16x GB200,16,Disaggregated prefill/decode,Long output / static ISL-OSL,8K ISL / 1K OSL concurrency sweep,recipes/deepseek-v4/deepseek-v4-pro/vllm/disagg/gb200/deploy.yaml,recipes/deepseek-v4/deepseek-v4-pro/vllm/disagg/gb200/perf.yaml,perf.yaml,Placeholder,expected results,"Which Day-0 backend and hardware target should serve DeepSeek-V4-Pro, and which path has benchmark coverage?","Same V4-Pro model, but variants differ by backend, hardware, topology, and benchmark availability.",Only V4-Pro path with benchmark instructions checked in today.,First launch can take 60-90 minutes depending on backend and hardware. | The GB200 vLLM paths rely on ComputeDomain/MNNVL placement; keep those prerequisites in front of users.
deepseek-v4-pro,DeepSeek-V4-Pro,alternative_recipe_set,Experimental,DeepSeek,deepseek-ai/DeepSeek-V4-Pro,SGLang agg B200,Deploy-only alternative,SGLang,8x B200,8,Aggregated serving; Expert parallel / MoE,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-pro/sglang/agg/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,"Which Day-0 backend and hardware target should serve DeepSeek-V4-Pro, and which path has benchmark coverage?","Same V4-Pro model, but variants differ by backend, hardware, topology, and benchmark availability.",TP=8 SGLang path with MXFP4 MoE via FlashInfer and EAGLE MTP.,First launch can take 60-90 minutes depending on backend and hardware. | The GB200 vLLM paths rely on ComputeDomain/MNNVL placement; keep those prerequisites in front of users.
deepseek-v4-pro,DeepSeek-V4-Pro,alternative_recipe_set,Experimental,DeepSeek,deepseek-ai/DeepSeek-V4-Pro,SGLang agg GB200,Deploy-only alternative,SGLang,8x GB200,8,Aggregated serving,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-pro/sglang/agg-gb200/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,"Which Day-0 backend and hardware target should serve DeepSeek-V4-Pro, and which path has benchmark coverage?","Same V4-Pro model, but variants differ by backend, hardware, topology, and benchmark availability.",GB200 SGLang aggregate path present in manifests but not benchmarked.,First launch can take 60-90 minutes depending on backend and hardware. | The GB200 vLLM paths rely on ComputeDomain/MNNVL placement; keep those prerequisites in front of users.
deepseek-v4-pro,DeepSeek-V4-Pro,alternative_recipe_set,Experimental,DeepSeek,deepseek-ai/DeepSeek-V4-Pro,SGLang disagg B200,Deploy-only alternative,SGLang,B200,,Disaggregated prefill/decode,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-pro/sglang/disagg-b200/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,"Which Day-0 backend and hardware target should serve DeepSeek-V4-Pro, and which path has benchmark coverage?","Same V4-Pro model, but variants differ by backend, hardware, topology, and benchmark availability.",Cluster-specific SGLang disagg path; keep as deploy-only until benchmark YAML lands.,First launch can take 60-90 minutes depending on backend and hardware. | The GB200 vLLM paths rely on ComputeDomain/MNNVL placement; keep those prerequisites in front of users.
deepseek-v4-pro,DeepSeek-V4-Pro,alternative_recipe_set,Experimental,DeepSeek,deepseek-ai/DeepSeek-V4-Pro,SGLang disagg GB200,Deploy-only alternative,SGLang,GB200,,Disaggregated prefill/decode,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-pro/sglang/disagg-gb200/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,"Which Day-0 backend and hardware target should serve DeepSeek-V4-Pro, and which path has benchmark coverage?","Same V4-Pro model, but variants differ by backend, hardware, topology, and benchmark availability.",GB200 SGLang disagg path with cluster-specific notes.,First launch can take 60-90 minutes depending on backend and hardware. | The GB200 vLLM paths rely on ComputeDomain/MNNVL placement; keep those prerequisites in front of users.
deepseek-v4-flash,DeepSeek-V4-Flash,deploy_only_set,Deploy only,DeepSeek,deepseek-ai/DeepSeek-V4-Flash,vLLM agg B200,Deploy-only alternative,vLLM,4x B200,4,Aggregated serving; Expert parallel / MoE,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-flash/vllm/agg_b200/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,Which aggregate DeepSeek-V4-Flash manifest matches the backend and Blackwell hardware target?,"Same V4-Flash model; all rows are single-replica, four-GPU aggregate deployments with no perf.yaml today.",DP=4 + expert parallel path for B200.,This page should not show a Benchmark action as if it is runnable; the benchmark section is an explicit placeholder. | Reasoning and tool-call verification are still real because parser flags are in the manifests.
deepseek-v4-flash,DeepSeek-V4-Flash,deploy_only_set,Deploy only,DeepSeek,deepseek-ai/DeepSeek-V4-Flash,vLLM agg GB200,Deploy-only alternative,vLLM,4x GB200,4,Aggregated serving; Expert parallel / MoE,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-flash/vllm/agg_gb200/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,Which aggregate DeepSeek-V4-Flash manifest matches the backend and Blackwell hardware target?,"Same V4-Flash model; all rows are single-replica, four-GPU aggregate deployments with no perf.yaml today.",TP=4 + expert parallel path for one GB200 NVL4 tray.,This page should not show a Benchmark action as if it is runnable; the benchmark section is an explicit placeholder. | Reasoning and tool-call verification are still real because parser flags are in the manifests.
deepseek-v4-flash,DeepSeek-V4-Flash,deploy_only_set,Deploy only,DeepSeek,deepseek-ai/DeepSeek-V4-Flash,SGLang agg B200,Deploy-only alternative,SGLang,4x B200,4,Aggregated serving; Expert parallel / MoE,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-flash/sglang/agg/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,Which aggregate DeepSeek-V4-Flash manifest matches the backend and Blackwell hardware target?,"Same V4-Flash model; all rows are single-replica, four-GPU aggregate deployments with no perf.yaml today.",SGLang TP4 with MXFP4 MoE and EAGLE MTP.,This page should not show a Benchmark action as if it is runnable; the benchmark section is an explicit placeholder. | Reasoning and tool-call verification are still real because parser flags are in the manifests.
deepseek-v4-flash,DeepSeek-V4-Flash,deploy_only_set,Deploy only,DeepSeek,deepseek-ai/DeepSeek-V4-Flash,SGLang agg GB200,Deploy-only alternative,SGLang,4x GB200,4,Aggregated serving,Deployment only,Deployment validation,recipes/deepseek-v4/deepseek-v4-flash/sglang/agg-gb200/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,Which aggregate DeepSeek-V4-Flash manifest matches the backend and Blackwell hardware target?,"Same V4-Flash model; all rows are single-replica, four-GPU aggregate deployments with no perf.yaml today.",Arm64 GB200 sibling for SGLang aggregate deployment.,This page should not show a Benchmark action as if it is runnable; the benchmark section is an explicit placeholder. | Reasoning and tool-call verification are still real because parser flags are in the manifests.
llama-3-3-70b,Llama-3.3-70B FP8,comparative_recipe,Preview,Meta / Red Hat,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,vLLM aggregated,Baseline,vLLM,4x H100/H200,4,Aggregated serving,Long output / static ISL-OSL,8K ISL / 1K OSL,recipes/llama-3-70b/vllm/agg/deploy.yaml,recipes/llama-3-70b/vllm/agg/perf.yaml,perf.yaml,Placeholder,expected results,"How do aggregate, single-node disaggregated, and multi-node disaggregated vLLM shapes differ for the same 8K/1K static benchmark?","Model, vLLM runtime, H100/H200 family, ISL=8192, OSL=1024, and concurrency-per-GPU=16.",Single-node TP4 baseline and smallest hardware footprint.,"GAIE manifests are optional integration artifacts, not separate recipe variants. | The README is thin; this page avoids claims beyond the manifest and perf YAML."
llama-3-3-70b,Llama-3.3-70B FP8,comparative_recipe,Preview,Meta / Red Hat,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,vLLM disagg single-node,Treatment,vLLM,8x H100/H200,8,Disaggregated prefill/decode,Long output / static ISL-OSL,Same static shape,recipes/llama-3-70b/vllm/disagg-single-node/deploy.yaml,recipes/llama-3-70b/vllm/disagg-single-node/perf.yaml,perf.yaml,Placeholder,expected results,"How do aggregate, single-node disaggregated, and multi-node disaggregated vLLM shapes differ for the same 8K/1K static benchmark?","Model, vLLM runtime, H100/H200 family, ISL=8192, OSL=1024, and concurrency-per-GPU=16.",P/D split within one node; compare latency against aggregate baseline.,"GAIE manifests are optional integration artifacts, not separate recipe variants. | The README is thin; this page avoids claims beyond the manifest and perf YAML."
llama-3-3-70b,Llama-3.3-70B FP8,comparative_recipe,Preview,Meta / Red Hat,RedHatAI/Llama-3.3-70B-Instruct-FP8-dynamic,vLLM disagg multi-node,Scale-out treatment,vLLM,16x H100/H200,16,Disaggregated prefill/decode,Long output / static ISL-OSL,Same static shape,recipes/llama-3-70b/vllm/disagg-multi-node/deploy.yaml,recipes/llama-3-70b/vllm/disagg-multi-node/perf.yaml,perf.yaml,Placeholder,expected results,"How do aggregate, single-node disaggregated, and multi-node disaggregated vLLM shapes differ for the same 8K/1K static benchmark?","Model, vLLM runtime, H100/H200 family, ISL=8192, OSL=1024, and concurrency-per-GPU=16.",Two-node disaggregated capacity shape.,"GAIE manifests are optional integration artifacts, not separate recipe variants. | The README is thin; this page avoids claims beyond the manifest and perf YAML."
nemotron-3-nano-omni,Nemotron 3 Nano Omni NVFP4,standalone_deploy_only_recipe,Deploy only,NVIDIA,nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-NVFP4,vLLM aggregated multimodal,Recipe,vLLM,1 GPU,1,Aggregated serving,Deployment only,Deployment validation,recipes/nemotron-3-nano-omni/vllm/agg/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,How do you build and deploy the custom vLLM image for a single-GPU multimodal Nemotron Nano Omni worker?,"Single aggregate vLLM deployment with custom container build, model-cache PVC, and multimodal smoke tests.",Use for functional multimodal deployment; add perf.yaml before making performance claims.,"The build step is not optional: deploy.yaml contains image placeholders for the custom vLLM+Dynamo image. | Optional no-NATS settings belong in configuration notes, not in the main happy path."
