"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test valid 'WxH' string parsing.","1","test_parse_size_valid","components.src.dynamo.trtllm.tests","2026-04-08","passed","2026-04-08","TestVideHandlerParseSize","test_trtllm_video_diffusion","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_aggregated[migration_enabled-graceful_shutdown-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_trtllm","",""
"","48417","test_router_decisions_sglang_multiple_workers[tcp]","tests.router","2026-04-08","passed","2026-04-08","","test_router_e2e_with_sglang","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_aggregated[migration_enabled-worker_failure-chat-unary-tcp]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_sglang","",""
"Test Prometheus metrics integration as used in main.py init() function.","1","test_prometheus_metrics_integration","components.src.dynamo.trtllm.tests","2026-04-08","passed","2026-04-08","","test_trtllm_main_init","",""
"
    End-to-end test for prefill worker request migration in disaggregated mode.

    Setup: 1 decode worker + 2 prefill workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_prefill[migration_enabled-graceful_shutdown-completion-stream-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_sglang","",""
"Test that --is-prefill-worker still works but emits DeprecationWarning.","5","test_legacy_is_prefill_worker_emits_deprecation","components.src.dynamo.vllm.tests","2026-04-08","passed","2026-04-08","","test_vllm_unit","",""
"
    End-to-end test for prefill worker request migration in disaggregated mode.

    Setup: 1 decode worker + 2 prefill workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_prefill[migration_disabled-graceful_shutdown-completion-unary-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_vllm","",""
"Test that vLLM no longer auto-creates kv_events_config.","3","test_kv_events_disabled_by_default_without_explicit_config","components.src.dynamo.vllm.tests","2026-04-08","passed","2026-04-08","","test_vllm_unit","",""
"Verify InputProcessor exposes renderer, generation_config_fields,
        and get_tokenizer used by EngineFactory and VllmProcessor.

        EngineFactory calls input_processor.get_tokenizer() and passes
        input_processor.renderer to preprocess_chat_request.
        VllmProcessor iterates input_processor.generation_config_fields.
        ","1","test_input_processor_attributes","components.src.dynamo.vllm.tests","2026-04-08","passed","2026-04-08","TestVllmRendererApi","test_vllm_renderer_api","",""
"
    End-to-end test for request migration during KV transfer in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_kv_transfer[migration_disabled-worker_failure-completion-unary-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_vllm","",""
"boundary_ratio within (0, 1] should pass.","0","test_omni_config_valid_boundary_ratio[0.001]","components.src.dynamo.vllm.tests.omni","2026-04-08","passed","2026-04-08","","test_omni_args","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","109873","test_request_migration_trtllm_aggregated[migration_enabled-graceful_shutdown-chat-stream-tcp]","tests.fault_tolerance.migration","2026-04-08","passed","2026-04-08","","test_trtllm","",""
"add_cli_args must accept a parser and no other required args.","12","test_omni_engine_args_add_cli_args_no_extra_params","components.src.dynamo.vllm.tests.omni","2026-04-08","passed","2026-04-08","","test_omni_args","",""
"Test that various value ranges are preserved with float32 precision.","0","test_embedding_value_ranges_preserved[zeros]","components.src.dynamo.vllm.tests","2026-04-08","passed","2026-04-08","TestEmbeddingsDataFormats","test_vllm_prompt_embeds","",""
"
    Test that frontend and worker shut down when single ETCD node is terminated for TRT-LLM in aggregated mode.

    This test:
    1. Starts a single ETCD node (no cluster)
    2. Starts NATS, frontend, and an aggregated TRT-LLM worker
    3. Sends an inference request to verify the system works
    4. Terminates the single ETCD node
    5. Verifies that frontend and worker shut down gracefully
    ","70601","test_etcd_non_ha_shutdown_trtllm_aggregated","tests.fault_tolerance.etcd_ha","2026-04-08","passed","2026-04-08","","test_trtllm","",""
"","0","test_single_key","components.src.dynamo.trtllm.tests","2026-04-08","passed","2026-04-08","TestSetNested","test_dynamic_flags","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_disabled-worker_failure-chat-unary-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_vllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","50613","test_request_migration_sglang_aggregated[migration_enabled-worker_failure-chat-stream-nats]","tests.fault_tolerance.migration","2026-04-08","passed","2026-04-08","","test_sglang","",""
"
    End-to-end test for prefill worker request migration in disaggregated mode.

    Setup: 1 decode worker + 2 prefill workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_prefill[migration_enabled-graceful_shutdown-completion-unary-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_trtllm","",""
"","0","test_missing_audio_raises","components.src.dynamo.vllm.tests.omni","2026-04-08","passed","2026-04-08","TestAudioFormatterExtractTensor","test_output_formatter","",""
"Test that build_headless_namespace produces a Namespace with fields
    required by vLLM's run_headless(), including the api_server_count fallback.","35","test_headless_namespace_has_required_fields","components.src.dynamo.vllm.tests","2026-04-08","passed","2026-04-08","","test_vllm_unit","",""
"
    End-to-end test for request migration during KV transfer in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_kv_transfer[migration_disabled-graceful_shutdown-chat-unary-tcp]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_sglang","",""
"","1","test_decode[True]","components.src.dynamo.vllm.tests","2026-04-08","passed","2026-04-08","TestCreate","test_vllm_worker_factory","",""
"
    End-to-end test for prefill worker request migration in disaggregated mode.

    Setup: 1 decode worker + 2 prefill workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","37579","test_request_migration_vllm_prefill[migration_enabled-graceful_shutdown-chat-stream-tcp]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_vllm","",""
"","2","test_non_tts_model","components.src.dynamo.vllm.tests.omni","2026-04-08","passed","2026-04-08","TestIsTtsModel","test_audio_handler","",""
"
    End-to-end test for prefill worker request migration in disaggregated mode.

    Setup: 1 decode worker + 2 prefill workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_prefill[migration_enabled-worker_failure-chat-stream-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_sglang","",""
"","47605","test_external_weight_mgr_vllm","tests.gms.integration","2026-04-08","passed","2026-04-08","","test_external_weight_mgr","",""
"
    Test dynamo serve deployments with different graph configurations.
    ","47677","test_serve_deployment[multimodal_e_pd_qwen]","tests.serve","2026-04-08","passed","2026-04-08","","test_vllm","",""
"Test that optional fields default to None.","0","test_optional_fields_default_none","components.src.dynamo.trtllm.tests","2026-04-08","passed","2026-04-08","TestNvCreateVideoRequest","test_trtllm_video_diffusion","",""
"
    End-to-end test for request migration during KV transfer in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_kv_transfer[migration_disabled-worker_failure-completion-stream-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_trtllm","",""
"deep_update with empty source leaves target unchanged.","0","test_deep_update_empty_source_unchanged","components.src.dynamo.trtllm.tests","2026-04-08","passed","2026-04-08","","test_trtllm_unit","",""
"Model name is forwarded.","0","test_passes_model","components.src.dynamo.vllm.tests","2026-04-08","skipped","2026-04-08","TestLoadMultimodalData","test_vllm_worker_handler","",""
"
    End-to-end test for prefill worker request migration in disaggregated mode.

    Setup: 1 decode worker + 2 prefill workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","37779","test_request_migration_vllm_prefill[migration_enabled-worker_failure-chat-stream-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_vllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_aggregated[migration_enabled-worker_failure-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_sglang","",""
"
    End-to-end test for request migration during KV transfer in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_kv_transfer[migration_disabled-graceful_shutdown-completion-unary-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_trtllm","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_aggregated[migration_disabled-worker_failure-completion-unary-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_vllm","",""
"Test dynamo serve deployments with vLLM-Omni configurations.","161643","test_omni_serve_deployment[omni_audio]","tests.serve","2026-04-08","passed","2026-04-08","","test_vllm_omni","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","70567","test_request_migration_sglang_decode[migration_disabled-worker_failure-chat-stream-tcp]","tests.fault_tolerance.migration","2026-04-08","passed","2026-04-08","","test_sglang","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_decode[migration_disabled-worker_failure-completion-stream-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_sglang","",""
"Test that --disaggregation-mode prefill without --kv-transfer-config raises ValueError.","4","test_prefill_worker_without_kv_transfer_config_raises","components.src.dynamo.vllm.tests","2026-04-08","passed","2026-04-08","","test_vllm_unit","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_decode[migration_disabled-graceful_shutdown-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_vllm","",""
"
    End-to-end test for request cancellation during prefill phase with unified frontend.

    This test verifies that when a request is cancelled by the client during the prefill phase,
    the system properly handles the cancellation and cleans up resources on the prefill worker.
    Since the request is cancelled before prefill completes, the decode worker never receives it.

    Timing (Last Run: 2025-12-09): ~115s total (2 workers at 45% GPU each)
    - Engine initialization: ~92s (frontend: 2s, prefill worker: 45s, decode worker: 45s sequential)
    - Testing cancellation during prefill: ~20s
    - Teardown: ~3s
    ","110779","test_request_cancellation_trtllm_prefill_cancel[nats]","tests.fault_tolerance.cancellation","2026-04-08","skipped","2026-04-08","","test_trtllm","",""
"
    End-to-end test for request migration during KV transfer in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_kv_transfer[migration_disabled-worker_failure-completion-unary-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_sglang","",""
"Swapping order of three distinct images should result in near-zero overlap.","4152","test_vllm_mm_overlap_swapped_order_less_than_same_order","tests.mm_router","2026-04-08","passed","2026-04-08","","test_vllm_mm_router_e2e","",""
"Test _upload_to_fs method.","1","test_upload_to_fs","components.src.dynamo.sglang.tests","2026-04-08","passed","2026-04-08","TestImageDiffusionWorkerHandler","test_sglang_image_diffusion_handler","",""
"","1","test_resume_returns_error_when_worker_has_no_tokenizer_manager","components.src.dynamo.sglang.tests","2026-04-08","passed","2026-04-08","","test_sglang_memory_occupation_handlers","",""
"Non-positive ulysses_degree must be rejected.","0","test_omni_config_invalid_ulysses_degree[-1]","components.src.dynamo.vllm.tests.omni","2026-04-08","passed","2026-04-08","","test_omni_args","",""
"
    End-to-end test for request migration during KV transfer in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_kv_transfer[migration_disabled-worker_failure-completion-stream-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_sglang","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_decode[migration_disabled-graceful_shutdown-chat-unary-tcp]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_sglang","",""
"","93","test_unsupported_args_get_pruned_for_autodeploy[engine_args0-True]","components.src.dynamo.trtllm.tests","2026-04-08","passed","2026-04-08","TestTensorRTLLMEngine","test_trtllm_autodeploy","",""
"
    End-to-end test for aggregated worker request migration.

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_sglang_aggregated[migration_disabled-graceful_shutdown-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_sglang","",""
"","1","test_rejects_loopback_v4","components.src.dynamo.vllm.tests","2026-04-08","passed","2026-04-08","TestIsRoutable","test_vllm_unit","",""
"
    End-to-end test for request migration during KV transfer in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_kv_transfer[migration_disabled-graceful_shutdown-completion-unary-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_vllm","",""
"","1","test_successful_generation","components.src.dynamo.vllm.tests.omni","2026-04-08","passed","2026-04-08","TestAudioFormatterFormat","test_output_formatter","",""
"Test handler initialization.","1","test_initialization","components.src.dynamo.sglang.tests","2026-04-08","passed","2026-04-08","TestImageDiffusionWorkerHandler","test_sglang_image_diffusion_handler","",""
"
    End-to-end test for prefill worker request migration in disaggregated mode.

    Setup: 1 decode worker + 2 prefill workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_prefill[migration_disabled-worker_failure-chat-unary-tcp]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_trtllm","",""
"Verify EventBatch/KVEventBatch has expected fields.","1","test_event_batch_fields","components.src.dynamo.vllm.tests","2026-04-08","passed","2026-04-08","TestVllmKvEventsApi","test_vllm_kv_events_api","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_decode[migration_disabled-graceful_shutdown-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_trtllm","",""
"
    End-to-end test for prefill worker request migration in disaggregated mode.

    Setup: 1 decode worker + 2 prefill workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_prefill[migration_disabled-graceful_shutdown-completion-stream-tcp]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_vllm","",""
"Test sglang disaggregated with DP attention (requires 4 GPUs)","0","test_sglang_disagg_dp_attention","tests.serve","2026-04-08","skipped","2026-04-08","","test_sglang","",""
"
    End-to-end test for decode worker request migration in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_decode[migration_enabled-worker_failure-completion-unary-tcp]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_vllm","",""
"Without encode client -> returns empty dict.","1","test_no_encode_client_returns_empty","components.src.dynamo.vllm.tests","2026-04-08","skipped","2026-04-08","TestLoadMultimodalData","test_vllm_worker_handler","",""
"Test usage statistics calculation for various scenarios.","0","test_build_completion_usage[zero-seq-len]","components.src.dynamo.vllm.tests","2026-04-08","passed","2026-04-08","TestUsageStatistics","test_vllm_prompt_embeds","",""
"
    End-to-end test for request migration during KV transfer in disaggregated mode.

    Setup: 1 prefill worker + 2 decode workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_trtllm_kv_transfer[migration_disabled-graceful_shutdown-chat-unary-nats]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_trtllm","",""
"
    End-to-end test for request cancellation during prefill phase.

    This test verifies that when a request is cancelled by the client during the prefill phase,
    the system properly handles the cancellation and cleans up resources
    on both the decode and prefill workers in a disaggregated setup.

    Timing (Last Run: 2025-12-09): ~53s total (requires 2 GPUs)
    - Engine initialization: ~23s (decode + prefill workers)
    - Testing cancellation during prefill: ~28s
    - Teardown: ~2s
    ","55460","test_request_cancellation_vllm_prefill_cancel[tcp]","tests.fault_tolerance.cancellation","2026-04-08","passed","2026-04-08","","test_vllm","",""
"
    End-to-end test for prefill worker request migration in disaggregated mode.

    Setup: 1 decode worker + 2 prefill workers

    Parameters:
        immediate_kill: True for abrupt kill (SIGKILL), False for graceful shutdown (SIGTERM)
        migration_limit: > 0 to verify migration succeeds, 0 to verify request fails
        request_api: ""chat"" for chat completion API, ""completion"" for completion API
        stream: True for streaming, False for non-streaming
    ","0","test_request_migration_vllm_prefill[migration_enabled-worker_failure-completion-unary-tcp]","tests.fault_tolerance.migration","2026-04-08","skipped","2026-04-08","","test_vllm","",""
